id,Llama
979938040629121024,-0.7
979937764996255744,-0.8
979937639582363648,0.6
979936164164579328,0
979935971495022592,-0.8
979935801378332672,0.6
979935376897904640,-0.9
979934528335642624,-0.8
979934420906991616,-0.8
979934222327713792,-0.7
979933504380329984,-0.4
979933201392111616,0.4
979931468205121536,0.6
979930654438756352,0
979930488407232512,-0.5
979929567099019264,0.2
979929374131503104,0.2
979929305722511360,-0.8
979929017938661376,-0.9
979927966531534848,-0.6
979927701527126016,-0.4
979927470676807680,-0.8
979927422479904768,-0.6
979926923571814400,0
979926842999234560,0.2
979926764473298944,-0.4
979926205800566784,-0.7
979926074984484864,-0.8
979924549910351872,0.8
979924427755339776,0.2
979923460880240640,-0.6
979922761446457344,-0.8
979921385698070528,0.8
979921234921164800,-0.8
979920840186675200,-0.8
979919530800672768,-0.8
979918912195383296,0.2
979918458510020608,0.8
979917513768218624,0.8
979915193156325376,0.2
979915068061245440,NA
979914488043442176,-0.5
979913539698806784,-0.7
979913038609428480,-0.7
979912491827388416,0.8
979911523266154496,NA
979910411905413120,0.5
979910304044756992,-0.8
979910176441536512,-0.7
979909608948031488,-0.4
979907223039107072,0.2
979906801943670784,0.5
979906754287828992,0
979906569805721600,0.4
979906350137344000,-1
979906175461359616,0.9
979905207382536192,-0.5
979904830679470080,-0.6
979904649934221312,0.2
979904170542149632,-0.8
979903535751008256,0.2
979903275741966336,-0.8
979903229709385728,-0.6
979902538311806976,0.9
979901993769684992,NA
979901604823486464,NA
979901284336664576,-0.7
979901096373182464,-0.6
979900223064629248,-0.7
979900093758353408,-0.8
979899896034668544,0.6
979899494497099776,0.2
979899371238993920,0.9
979898621951791104,0.2
979898267667435520,0.2
979897040162312192,-0.7
979896708254576640,0.2
979896647172833280,0.6
979896553572913152,-0.8
979896030006337536,0.8
979895925203263488,-0.6
979895755304587264,0.8
979895453511815168,-0.6
979895269381812224,0.9
979894976996818944,NA
979894936001810432,-0.7
979894729830670336,0.8
979894380759678976,-0.4
979894269665259520,0.6
979894082041507840,0
979893985404702720,-1
979891990476312576,-0.4
979890981645553664,0.8
979890581899005952,-1
979890314734395392,0.2
979890150783070208,0.2
979889950064816128,0.4
979889683634249728,-1
979889640374259712,-0.8
979889424837332992,-0.5
979889113531793408,-0.7
979888222179414016,0.2
979888033011920896,NA
979887841990905856,0.8
979887629331247104,-0.8
979887628660215808,0.5
979887452679622656,0.2
979887281568997376,0.2
979886972914237440,NA
979886667887673344,0.8
979886511112953856,-0.6
979884734326046720,0.2
979884037597683712,0
979883467369517056,0.5
979882518139883520,NA
979882176010444800,-0.7
979881444288933888,NA
979881351779373056,0.8
979881129829388288,-0.4
979880912086237184,-0.4
979879456763412480,0.2
979879415931920384,0.8
979879327553802240,NA
979878865626632192,-0.3
979878711427248128,-0.8
979878584381771776,-0.5
979878454656208896,0.2
979878051738656768,0
979877806556499968,0.4
979877080182788096,-0.7
979875973855408128,-0.9
979875453363204096,-0.8
979875130494078976,-0.9
979874666138382336,0.2
979874568373522432,-0.8
979873974887829504,0.2
979873921280413696,-0.8
979873551602929664,0.3
979873392261320704,-0.3
979871468560400384,-0.9
979870431334281216,0.8
979870229068242944,-0.7
979869624694173696,0.2
979869230924365824,-0.3
979868996827799552,0.8
979868882931462144,0.8
979868190212702208,-0.8
979868164602425344,0
979868042900451328,0.9
979867726108819456,-0.8
979867697440751616,-0.8
979864905066172416,0.8
979864723683291136,0.2
979864612593176576,-0.8
979864444640612352,-0.8
979864291355582464,0.9
979863965680439296,-1
979863779604357120,0.2
979863276182913024,-0.9
979862892353789952,0.7
979862817082937344,-0.7
979862601764036608,-0.4
979861672667107328,-0.2
979861610364882944,0.2
979861591272370176,0.5
979861079235817472,0.5
979860249229299712,-0.9
979859737666764800,-0.6
979859162946506752,NA
979859071661694976,0.5
979858701011050496,-0.7
979858056304619520,0
979857992752377856,-0.8
979857087911137280,0.5
979856295909093376,-0.6
979856015696023552,0
979855703971069952,1
979854404395388928,0.6
979853693859319808,0.5
979853400123822080,-0.7
979853093130162176,0.7
979851949318328320,-0.9
979851912915902464,-0.8
979851865876819968,-0.8
979850863521947648,0.9
979850571992608768,-1
979849820692238336,-0.8
979849110168612864,0.5
979848943659044864,0.2
979848488744726528,-0.2
979848422801977344,-0.5
979848283848921088,0
979847850392768512,-0.9
979847410116591616,-0.7
979846845445885952,0.8
979845249802661888,-0.8
979844694652878848,0.8
